query_text,start_station,end_station
从创新港东到西工程大·西科大（临潼校区）,创新港东,西工程大·西科大（临潼校区）
目的地长鸣路，起点贺韶,长鸣路,贺韶
我要从东长安街去造字台,东长安街,造字台
我在长乐坡去长鸣路,长乐坡,长鸣路
怎么去汉城南路从灞柳二路,汉城南路,灞柳二路
我要从机场西(T1/T2/T3)去摆旗寨,机场西(T1/T2/T3),摆旗寨
我在西安工大·武德路去公园南路,西安工大·武德路,公园南路
我在王寺去钟楼,王寺,钟楼
我在港务大道去吉祥村,港务大道,吉祥村
高桥前往延平门,高桥,延平门
从新寺到通化门,新寺,通化门
怎么去建筑科技大学·李家村从秦陵西,建筑科技大学·李家村,秦陵西
奥体中心到通化门怎么走,奥体中心,通化门
我要从西安工大·武德路去寒窑,西安工大·武德路,寒窑
我要从大唐西市去纺六路,大唐西市,纺六路
出发地凤城十二路到达霸城门,凤城十二路,霸城门
北大街前往文景山公园,北大街,文景山公园
怎么去五路口从长陵,五路口,长陵
从安远门出发到青龙寺,安远门,青龙寺
坐地铁从复兴大道到丰庆公园,复兴大道,丰庆公园
我要从北苑去务庄,北苑,务庄
目的地文景山公园，起点文教园,文景山公园,文教园
目的地长乐门，起点安远门,长乐门,安远门
从木塔寺西出发到纺六路,木塔寺西,纺六路
坐地铁从丈八北路到半坡,丈八北路,半坡
坐地铁从洒金桥到井上村,洒金桥,井上村
从市图书馆出发到国际港务区,市图书馆,国际港务区
我要从体育场去百花村,体育场,百花村
南稍门到半坡怎么走,南稍门,半坡
目的地东等驾坡，起点后卫寨,东等驾坡,后卫寨
怎么去洒金桥从太白南路,洒金桥,太白南路
我在纬一街去创新港东,纬一街,创新港东
坐地铁从延平门到三桥,延平门,三桥
从保税区到西等驾坡,保税区,西等驾坡
从长乐公园出发到丈八一路,长乐公园,丈八一路
出发地安化门到达凤栖原,安化门,凤栖原
目的地吉祥村，起点长乐公园,吉祥村,长乐公园
怎么去幸福林带北从大唐不夜城,幸福林带北,大唐不夜城
丈八四路到曲江池西怎么走,丈八四路,曲江池西
目的地北大街，起点造字台,北大街,造字台
我在常青路去安谷,常青路,安谷
出发地北大街到达大唐芙蓉园,北大街,大唐芙蓉园
怎么去郭杜西从金光门,郭杜西,金光门
新开门到延平门怎么走,新开门,延平门
我要从咸阳西站去纺织城,咸阳西站,纺织城
我要从科技路去石家街,科技路,石家街
龙首原到复兴大道怎么走,龙首原,复兴大道
出发地百花村到达广泰门,百花村,广泰门
怎么去安化门从金滹沱,安化门,金滹沱
我在甘家寨去文艺路,甘家寨,文艺路
从鱼化寨到青龙寺,鱼化寨,青龙寺
我要从百花村去空港新城,百花村,空港新城
从百花村出发到五路口,百花村,五路口
我要从丈八四路去奥体中心,丈八四路,奥体中心
何家营到劳动路怎么走,何家营,劳动路
从丈八北路出发到朝阳门,丈八北路,朝阳门
我在东三岔去市中医医院,东三岔,市中医医院
从常宁宫出发到复兴大道,常宁宫,复兴大道
出发地创新港东到达航天大道,创新港东,航天大道
坐地铁从港务大道到龙首原,港务大道,龙首原
我在洒金桥去开远门,洒金桥,开远门
坐地铁从朝阳门到新筑,朝阳门,新筑
我要从三爻去大雁塔,三爻,大雁塔
目的地新开门，起点延兴门,新开门,延兴门
出发地保税区到达白马河,保税区,白马河
安远门前往中华西路,安远门,中华西路
我在植物园去建筑科技大学·李家村,植物园,建筑科技大学·李家村
我在秦汉新城去航天新城,秦汉新城,航天新城
我在西安站去北大街,西安站,北大街
目的地南稍门，起点广泰门,南稍门,广泰门
目的地开远门，起点科技路,开远门,科技路
怎么去万寿南路从米家崖,万寿南路,米家崖
坐地铁从国际港务区到北辰,国际港务区,北辰
含元殿前往缪家寨,含元殿,缪家寨
目的地艺术中心，起点咸宁路,艺术中心,咸宁路
从安化门到寒窑,安化门,寒窑
目的地新寺，起点青龙寺,新寺,青龙寺
从新寺到延平门,新寺,延平门
从大明宫北到皂河,大明宫北,皂河
从西等驾坡到植物园,西等驾坡,植物园
我在洪庆去大明宫北,洪庆,大明宫北
永宁门前往通化门,永宁门,通化门
凤栖原到开远门怎么走,凤栖原,开远门
出发地白家口到达桥梓口,白家口,桥梓口
航天新城前往沣西文化公园,航天新城,沣西文化公园
我要从大风阁去行政中心,大风阁,行政中心
怎么去紫霞三路从秦汉新城,紫霞三路,秦汉新城
怎么去马腾空从广泰门,马腾空,广泰门
从文艺路到后卫寨,文艺路,后卫寨
我要从光化门去幸福林带北,光化门,幸福林带北
坐地铁从飞天路到枣园,飞天路,枣园
目的地常宁宫，起点咸宁路,常宁宫,咸宁路
行政中心前往五路口,行政中心,五路口
造字台到广泰门怎么走,造字台,广泰门
目的地通化门，起点太白南路,通化门,太白南路
我在元朔路去凤城九路,元朔路,凤城九路
我在木塔寺西去石家街,木塔寺西,石家街
目的地交通大学·兴庆宫，起点大唐西市,交通大学·兴庆宫,大唐西市
西安站前往大风阁,西安站,大风阁
怎么去石桥立交从凤栖原,石桥立交,凤栖原
怎么去飞天路从西安站,飞天路,西安站
从朝阳门出发到西北工业大学,朝阳门,西北工业大学
怎么去丈八北路从浐灞中心,丈八北路,浐灞中心
我在运动公园去华清池,运动公园,华清池
文教园前往吉祥村,文教园,吉祥村
从龙首原出发到行政中心,龙首原,行政中心
出发地西安工大·武德路到达保税区,西安工大·武德路,保税区
从航天东路到开远门,航天东路,开远门
从大唐芙蓉园到长乐公园,大唐芙蓉园,长乐公园
石家街前往金光门,石家街,金光门
东三岔到渭河南怎么走,东三岔,渭河南
我要从保税区去咸阳西站,保税区,咸阳西站
出发地安定门到达植物园,安定门,植物园
目的地植物园，起点光化门,植物园,光化门
出发地枣园到达艺术中心,枣园,艺术中心
出发地咸宁路到达沣河森林公园,咸宁路,沣河森林公园
我要从陈阳寨去丰庆公园,陈阳寨,丰庆公园
出发地高桥到达秦汉新城,高桥,秦汉新城
坐地铁从太乙路到省体育馆,太乙路,省体育馆
坐地铁从沣东自贸园到神舟大道,沣东自贸园,神舟大道
怎么去白马河从北大街,白马河,北大街
从广济街出发到国际港务区,广济街,国际港务区
我要从曲江池西去长乐公园,曲江池西,长乐公园
出发地上林路到达曲江池西,上林路,曲江池西
